0.86,0.4849289,1.380647,0.1517214,-0.03883467,-4.15302,-5.938622,0.1866553,-0.09371297,2.242226,-4.895345,-53.78127,66.32612,0.69,-0.14,1.28,-1.34,0.6175843,-0.141212,2,-3,2,-2,11,30,-1,-1
0.88,0.4886802,1.380194,0.06866096,-0.1576071,-5.35048,1.921524,0.2858116,-0.1772504,4.957816,-4.176871,135.7795,35.92369,1.05,-0.73,-1.04,1.4,1.077052,-0.709264,10,-4,-7,-10,-10,-59,-18,-7
0.9,0.4906667,1.377757,-0.03834864,-0.1191766,-6.371983,0.7088275,0.4270285,-0.2659641,7.060847,-4.435685,105.1515,-12.94072,0.32,-0.14,-3.54,3.3,0.3756132,-0.181716,0,4,4,14,-11,-4,-1,-3
0.92,0.4905547,1.37639,-0.1657883,-0.1050001,0.9516076,-1.018298,0.4987348,-0.3029553,3.585316,-1.849559,-173.7765,129.3063,-0.09,0.2,-0.24,-0.49,-0.07130133,0.1527599,1,4,7,13,12,15,-4,-2
0.94,0.4875143,1.374807,-0.1467561,-0.125366,0.4992449,-1.895297,0.4617211,-0.270167,-1.850688,1.639415,-271.8003,174.4487,0.17,-0.27,2.5,-1.53,0.1951187,-0.2305087,9,-6,-3,-7,-2,64,4,-1
0.96,0.484334,1.372033,-0.1367712,-0.163272,0.9001012,-1.442603,0.3877312,-0.2330564,-3.699492,1.855527,-92.44018,10.80558,0.34,-0.33,0.18,0.37,0.3186745,-0.3175217,-9,1,-1,-7,-20,2,12,1
0.98,0.4813215,1.36823,-0.1187692,-0.192124,1.353955,-0.5376778,0.3321387,-0.2346044,-2.779625,-0.07739738,45.99333,-96.64622,0.27,-0.53,-2.14,2.5,0.3021851,-0.4958652,1,-2,-3,12,-8,35,12,2
1,0.4789577,1.363983,-0.09169012,-0.2028776,1.33492,0.1422352,0.2959795,-0.2490055,-1.807962,-0.7200539,48.58315,-32.13283,0.24,0.08,-0.37,-0.85,0.2143588,0.07516459,0,1,0,-13,-5,29,0,4
1.02,0.4772303,1.359662,-0.06499172,-0.2000329,1.159127,0.5844718,0.2938653,-0.2232894,-0.1057088,1.285804,85.11268,100.2929,0.84,0.07,1.89,-1.77,0.7926813,0.0604922,3,0,1,-14,-10,51,-6,-3
1.04,0.4757405,1.355647,-0.04180919,-0.1883435,1.47339,0.6103289,0.3653518,-0.1689309,3.574325,2.717925,184.0017,71.60604,0.96,-0.15,1.59,-0.31,0.9478936,-0.1851364,-16,-5,1,1,-8,-30,18,0
1.06,0.4745024,1.352401,-0.01234139,-0.1761369,2.138118,-0.2639707,0.497209,-0.1546534,6.592859,0.7138752,150.9267,-100.2025,0.84,-0.63,-1.89,1.65,0.8690907,-0.6359665,5,-2,-3,8,-6,-59,-4,-2
1.08,0.4741496,1.349835,0.03042096,-0.1814163,2.31279,-1.876636,0.6154127,-0.2036895,5.910187,-2.451807,-34.13363,-158.2841,0.43,-0.35,-2.44,1.95,0.4593333,-0.3767146,10,-2,1,-11,0,48,17,10
1.1,0.4751242,1.347058,0.07667676,-0.218949,-6.695189,-3.322334,0.6389411,-0.2668437,1.17642,-3.157708,-236.6884,-35.29505,-0.12,-0.24,-3.05,1.4,-0.07625323,-0.271581,-13,4,0,-30,-13,15,2,0
1.12,0.4771326,1.342844,-0.05722702,-0.2853957,-7.467747,-3.610101,0.5551232,-0.3061243,-4.190898,-1.964031,-268.3659,59.68385,0.21,-0.33,-1.89,0.85,0.1811776,-0.3256971,-3,1,4,10,17,-58,-18,-1
1.14,0.4762837,1.336522,-0.206582,-0.3575977,0.4604286,-2.584956,0.4384286,-0.3212501,-5.834729,-0.7562891,-82.19154,60.38711,0.3,-0.23,-0.49,0.55,0.2983861,-0.2106328,-9,-1,-2,3,3,-5,13,2
1.16,0.4722655,1.328519,-0.1973734,-0.4092968,0.2753027,-1.157725,0.3539996,-0.2990737,-4.221447,1.108818,80.66409,93.25535,0.4,0.13,0.55,1.04,0.3896809,0.1039353,0,-3,-5,9,-1,-29,1,-11
1.18,0.4681527,1.319718,-0.1918673,-0.4324513,0.5466461,-0.1251297,0.29811,-0.2378796,-2.794483,3.059708,71.34818,97.54453,0.03,-0.13,0.79,0.06,0.02682847,-0.1034485,5,-2,-4,4,16,-23,-3,-3
1.2,0.4638616,1.310665,-0.1809344,-0.4349539,1.294984,0.5584157,0.2669791,-0.1696497,-1.556543,3.41149,61.89705,17.5891,0.72,-0.02,-0.49,1.4,0.6701195,-0.02193031,-10,9,-3,-17,-12,-14,0,-5
1.22,0.4597383,1.301742,-0.1550347,-0.4237856,2.129534,0.9391518,0.3224092,-0.1223843,2.771501,2.363274,216.4022,-52.4108,1.27,-0.2,-1.16,1.71,1.234294,-0.2341149,3,-9,2,7,27,19,2,1
1.24,0.4562888,1.293671,-0.1124441,-0.4050026,2.707668,0.2612305,0.4720136,-0.1230085,7.480224,-0.0312116,235.4361,-119.7243,0.74,-0.53,0.49,0.37,0.8029687,-0.516807,3,2,-3,4,-20,13,-19,1
1.26,0.4540447,1.286654,-0.05829069,-0.3997779,2.69983,-1.568485,0.6057395,-0.184812,6.686296,-3.090176,-39.69641,-152.9482,0.32,-0.55,0.18,0.24,0.3516667,-0.5573663,-11,-4,-2,11,-10,-9,-9,-2
